Index,City,lon,lat
478,Tulle,"1,771697","45,26565"
479,Molenbeek,"4,3303277","50,8522009"
480,Sabl�-sur-Sarthe,"-0,3334185","47,8404856"
481,Merlin-Plage,"46,7552609","-2,306027"
482,Saint-Gilles-Croix-de-Vie,"-1,944529","46,697777"
483,Angoul�me,"0,1562369","45,648377"
484,Barcelonnette,"6,650463","44,3863"
485,Valloire,"6,428733","45,165292"
486,Pouilly-en-Auxois,"4,556286","47,262495"
487,Plymouth,"-70,6672621","41,9584457"
488,Morlaix,"-3,828228","48,577613"
489,Dieppe,"1,077483","49,922992"
490,Harelbeke,"3,3106757","50,8567031"
491,Mons,"3,956659","50,4542408"
492,Chaumont,"-118,3992505","34,660131"
493,Gaillard,"-79,9308156","32,7867717"
494,Savines-le-Lac,"6,404982","44,525913"
495,Colomiers,"1,336579","43,612189"
496,La Seu d'Urgell,"1,4555525","42,3575784"
497,Vouvray,"0,799248","47,412068"
498,Scheveningen,"4,3021834","52,1024015"
499,Sint-Niklaas,"4,154441","51,1558839"
500,Mo�tiers,"6,529926","45,484615"
501,Thuir,"2,756348","42,63243"
502,Bourg-Madame,"1,944595","42,434397"
503,Bourges,"2,398782","47,81012"
504,Royan,"-1,043182","45,623027"
505,Carnon-Plage,"3,9748416","43,5431357"
506,Orci�res,"6,324101","44,684956"
507,Dinant,"4,9127457","50,260494"
508,Rungis,"2,349936","48,749358"
509,Gourette,"-0,332111","42,958836"
510,Mont-de-Marsan,"-0,499782","43,893485"
511,Forest,"-96,2297579","36,1811146"
512,Ciney,"5,1008264","50,2956548"
513,Saarlouis,"6,7522865","49,3134606"
514,Ruffec,"0,199339","46,28559"
515,Sint-Pieters-Woluwe,"4,4335038","50,8299809"
516,Maastricht,"5,6909725","50,8513682"
517,Digne,"6,235976","44,92193"
518,Aubagne,"5,5676425","43,2926781"
519,La Grande-Motte,"4,086072","43,560704"
520,Castelnaudary,"1,95333","43,317118"
521,Arlon,"5,8104804","49,6851364"
522,Jambes,"4,8718614","50,4563491"
523,S�te,"3,7008219","43,4078758"
524,Fontainebleau,"-80,1223556","25,816968"
525,Charleville,"146,2453597","-26,4020616"
526,Tournai,"3,3879338","50,6056475"
